experiment_datetime,cv_folds,batch_size,dropout,epochs,learning_rate,num_units,mean_test_score,std_test_score
20230508_02:42,3,128,0.4,50,0.0001,32,-0.0026184377080459,4.849812966856349e-05
20230508_02:42,3,128,0.4,50,0.0001,32,-0.0026184377080459,4.849812966856349e-05
20230508_02:50,3,128,0.4,50,0.0001,32,-0.0026178997154702,4.667994841028767e-05
20230527_03:29,3,128,0.4,50,0.0001,32,-0.0026110724283939,8.22188616541759e-05
20230529_05:59,3,128,0.4,50,0.0001,32,-0.002604664755035,7.593687165660136e-05
20230529_06:08,3,128,0.4,50,0.0001,32,-0.0026235517861466,5.230402346997314e-05
20230606_16:49,3,128,0.4,50,0.0001,32,-0.0026422467441101,0.0001096705943871
20230606_17:08,3,128,0.4,50,0.0001,32,-0.0025942729456461,4.800437326124017e-05
20230606_17:48,3,128,0.4,50,0.0001,32,-0.00264779508472564,6.039781932479348e-05
